run time: 89280; warm up: 2
average_delay; average_revenue; average_solar_revenue; average_overload_percentage; strategy
0.0; 238920.4204073857; 0.0; 0.6756017381405665; base 1
0.0; 223645.78461287703; 0.0; 0.7445088787556899; base 2
323.4101376358858; 156514.1363127498; 0.0; 0.0; base 3
297.3547914539635; 164685.5983631648; 0.0; 0.0; base 4
0.0; 239880.00058480297; 26652.040489095387; 0.6147532698149122; [6, 7] summer 1
0.0; 239289.89819644726; 7110.289665213089; 0.6436529373923882; [6, 7] winter 1
0.0; 222730.52748417688; 26215.62275689727; 0.6543345605796307; [6, 7] summer 2
0.0; 222569.15859154493; 7073.819779509801; 0.7093505503023718; [6, 7] winter 2
205.4738293455912; 184425.46793169808; 26200.354333725325; 0.0726413873209653; [6, 7] summer 3
299.88997159498643; 163788.9432636509; 7140.153093905238; 0.030818963772952436; [6, 7] winter 3
193.02616203986327; 188634.52451480413; 26250.89978997993; 0.06808284424419454; [6, 7] summer 4
258.9209064585821; 171777.86658024156; 7094.729629676627; 0.03832653880876624; [6, 7] winter 4
0.0; 236868.96243004894; 52667.92694635715; 0.471547755130965; [1, 2, 6, 7] summer 1
0.0; 240180.29280776234; 14301.87162857663; 0.5991229479045697; [1, 2, 6, 7] winter 1
0.0; 222113.06125725067; 52659.31943474975; 0.4942587623110079; [1, 2, 6, 7] summer 2
0.0; 222286.75779384997; 14474.07629628642; 0.6587215301914416; [1, 2, 6, 7] winter 2
112.03379081911187; 203967.33578508318; 53012.120670516924; 0.09945835747704164; [1, 2, 6, 7] summer 3
263.9460510506707; 173314.9731090757; 14503.079482491896; 0.05074495152401616; [1, 2, 6, 7] winter 3
126.72758243966801; 208023.94296122127; 52975.9393107773; 0.09274499011675479; [1, 2, 6, 7] summer 4
248.1886164552829; 177871.9886255053; 14401.48916372211; 0.04753911324057895; [1, 2, 6, 7] winter 4
total time: 289.0359272956848 seconds
